id;product_id;sku;product_name;category;price;image_key;description;is_best_seller;active_status;square_catalog_object_id;created_at;updated_at
3ae96506-c35e-4c1f-8b7a-38d1dd700e14;P002;CCF-BAR-002;Midnight Dark Chocolate Bar;Chocolate Bars;7.25;midnight-dark;72% single-origin dark chocolate.;true;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
ee147852-7ab1-4a27-bf2e-76aa6a8c9699;P003;CCF-BAR-003;Golden Caramel Crunch;Chocolate Bars;7.95;golden-caramel;Buttery caramel shards in milk chocolate.;true;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
273a0ef4-087c-4bd1-8208-2952200e50db;P004;CCF-BAR-004;Hazelnut Dream Bar;Chocolate Bars;7.50;hazelnut-dream;Roasted hazelnut praline centre.;false;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
ed21f394-2ea2-4b27-a223-4f7d6852c914;P005;CCF-TRF-001;Sea Salt Caramel Truffles;Truffles;18.00;sea-salt-truffles;Six flowing caramel truffles with sea salt.;true;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
09582998-bfb0-4a3d-8542-5dd55393d078;P006;CCF-TRF-002;Raspberry Truffle Collection;Truffles;19.50;raspberry-truffles;Tart raspberry ganache in dark shells.;false;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
2ad4a80c-bdd2-4a11-bdfb-1d9970ccc44c;P007;CCF-GFT-001;Chocolate Factory Gift Box;Gift Boxes;34.00;factory-gift-box;Twelve-piece signature assortment.;true;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
aa2d024a-1da3-4d5c-98c4-4450f9e168e8;P008;CCF-GFT-002;Golden Ticket Collection;Gift Boxes;48.00;golden-ticket-box;Our grand assortment with a keepsake golden ticket.;true;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
f15b46e4-68b9-4292-83aa-355bd3d9ad9a;P009;CCF-BTE-001;Maple Chocolate Bites;Chocolate Bars;9.75;maple-bites;Maple cream bites rolled in cocoa.;false;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
edf64654-23f2-4b10-bc1b-9e13fde2605c;P010;CCF-CUP-001;Peanut Butter Chocolate Cups;Truffles;12.25;peanut-butter-cups;Whipped peanut butter in milk chocolate cups.;true;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
072cacd8-2a11-46cc-b1ab-2139a29b8a09;P011;CCF-SEA-001;Strawberry Chocolate Hearts;Seasonal;15.50;strawberry-hearts;Strawberry cream hearts for the season.;false;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
6d304555-0ecc-4832-ae7c-549854b72e7d;P012;CCF-BAR-005;Espresso Dark Chocolate;Chocolate Bars;7.75;espresso-dark;Dark chocolate with fine espresso grounds.;false;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
2817d324-3b04-462d-82c0-f446c6557098;P013;CCF-BAR-006;Cookies & Cream Bar;Chocolate Bars;6.95;cookies-cream;White chocolate with crushed cocoa cookies.;false;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
26705c9f-fe99-432b-8012-21a66dd90f50;P014;CCF-TRF-003;Magical Assorted Truffles;Truffles;26.50;magical-truffles;Twelve truffles, twelve fillings, one surprise.;true;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
0a2d7a9a-0eb6-4252-8fb2-7a315c32a1c2;P015;CCF-SEA-002;Seasonal Celebration Box;Seasonal;42.00;celebration-box;Limited seasonal assortment in a ribboned box.;false;true;;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
80bd9e92-41ee-41ea-9537-fdfa733a7345;P001;CCF-BAR-001;Charlie's Classic Milk Chocolate Bar;Chocolate Bars;6.50;classic-milk;Creamy stone-ground milk chocolate in gold foil.;true;true;KWCUFIOU27X5BGTV5TKJDSIZ;2026-09-09 21:45:40.125637+00;2026-09-09 21:45:40.125637+00
